hour_bucket,hourly_avg_power,hourly_max_power,hourly_min_power,record_count
2021-12-31 23:00:00,1.9,1.997,1.803,2
2021-12-31 22:00:00,1.49,1.984,0.903,3
2021-12-31 20:00:00,1.61,1.705,1.437,3
2021-12-31 19:00:00,1.66,1.916,1.298,3
2021-12-31 17:00:00,1.29,1.287,1.287,1
2021-12-31 16:00:00,1.0,1.159,0.7,3
2021-12-31 15:00:00,0.89,1.376,0.464,4
2021-12-31 14:00:00,1.25,1.245,1.245,1
2021-12-31 13:00:00,0.58,0.641,0.524,2
2021-12-31 12:00:00,0.93,1.219,0.525,3
2021-12-31 11:00:00,1.16,1.573,0.595,5
2021-12-31 10:00:00,0.95,1.302,0.772,4
2021-12-31 09:00:00,1.53,2.197,1.002,4
2021-12-31 08:00:00,0.75,0.749,0.749,1
2021-12-31 07:00:00,1.69,1.692,1.692,1
2021-12-31 06:00:00,1.54,1.804,1.077,3
2021-12-31 05:00:00,1.04,1.039,1.039,1
2021-12-31 04:00:00,1.12,1.378,0.877,5
2021-12-31 03:00:00,0.75,1.039,0.462,2
2021-12-31 02:00:00,1.12,1.165,1.077,2
2021-12-31 01:00:00,1.21,1.334,0.955,4
2021-12-31 00:00:00,1.01,1.194,0.71,3
2021-12-30 23:00:00,1.45,1.736,1.053,3
2021-12-30 22:00:00,1.74,1.958,1.389,4
2021-12-30 21:00:00,1.84,2.061,1.613,2
2021-12-30 20:00:00,1.24,1.431,1.05,2
2021-12-30 19:00:00,1.69,1.776,1.645,3
2021-12-30 18:00:00,0.84,1.248,0.527,5
2021-12-30 17:00:00,0.76,1.166,0.313,5
2021-12-30 15:00:00,0.99,1.22,0.857,3
2021-12-30 14:00:00,1.05,1.244,0.833,4
2021-12-30 13:00:00,0.79,1.284,0.427,4
2021-12-30 12:00:00,0.86,0.862,0.862,1
2021-12-30 11:00:00,1.04,1.13,0.948,2
2021-12-30 10:00:00,0.94,1.49,0.568,4
2021-12-30 08:00:00,1.53,1.591,1.474,2
2021-12-30 07:00:00,1.53,1.552,1.488,3
2021-12-30 06:00:00,1.6,1.872,1.203,3
2021-12-30 05:00:00,1.2,1.517,0.992,4
2021-12-30 04:00:00,1.11,1.114,1.114,1
2021-12-30 03:00:00,1.21,1.239,1.17,4
2021-12-30 02:00:00,1.1,1.308,0.941,4
2021-12-30 01:00:00,0.91,1.543,0.594,6
2021-12-30 00:00:00,0.93,1.311,0.668,3
2021-12-29 23:00:00,1.38,1.704,0.889,6
2021-12-29 22:00:00,1.79,1.92,1.602,4
2021-12-29 21:00:00,1.43,1.871,1.053,3
2021-12-29 20:00:00,1.65,1.799,1.512,3
2021-12-29 19:00:00,1.47,1.712,1.236,2
2021-12-29 18:00:00,1.07,1.701,0.36,3
2021-12-29 17:00:00,1.09,1.09,1.09,1
2021-12-29 16:00:00,0.68,1.122,0.319,3
2021-12-29 15:00:00,0.8,0.857,0.762,4
2021-12-29 14:00:00,0.84,0.941,0.742,3
2021-12-29 13:00:00,1.09,1.504,0.764,4
2021-12-29 12:00:00,0.71,0.795,0.622,2
2021-12-29 11:00:00,0.94,1.144,0.793,3
2021-12-29 10:00:00,0.89,0.979,0.801,2
2021-12-29 09:00:00,2.01,2.01,2.01,1
2021-12-29 08:00:00,1.34,1.856,0.763,5
2021-12-29 07:00:00,1.3,1.298,1.298,1
2021-12-29 06:00:00,1.35,1.566,1.127,2
2021-12-29 05:00:00,1.15,1.666,0.417,3
2021-12-29 04:00:00,1.42,1.447,1.399,2
2021-12-29 03:00:00,0.8,1.136,0.462,3
2021-12-29 02:00:00,1.15,1.325,0.985,4
2021-12-29 01:00:00,0.99,1.023,0.961,2
2021-12-28 23:00:00,1.79,1.945,1.641,2
2021-12-28 22:00:00,1.6,2.01,1.332,3
2021-12-28 21:00:00,1.68,1.679,1.679,1
2021-12-28 20:00:00,1.56,1.945,1.269,3
2021-12-28 19:00:00,1.73,1.921,1.34,5
2021-12-28 18:00:00,1.2,1.625,0.769,2
2021-12-28 17:00:00,0.51,0.593,0.46,3
2021-12-28 16:00:00,1.17,1.524,0.699,3
