Timestamp,Meter_ID,Zone_ID,Voltage_V,Current_A,Active_Power_kW,Reactive_Power_kW,Apparent_Power_kVA,Frequency_Hz,Sub_Meter_Kitchen,Sub_Meter_HVAC,Outdoor_Temp_C
2021-01-01T00:00:00,MTR-4455,South,229.53,6.806,1.394,0.715,1.567,49.973,0.062,0.116,22.85
2021-01-01T01:00:00,MTR-4453,West,221.13,6.167,1.227,0.618,1.374,49.99,0.0,0.133,19.89
2021-01-01T01:00:00,MTR-4455,South,224.79,4.391,0.88,0.451,0.989,49.968,0.0,0.0,21.05
2021-01-01T01:00:00,MTR-4456,East,228.27,5.439,1.104,0.493,1.209,50.041,0.041,0.11,21.65
2021-01-01T01:00:00,MTR-4460,East,228.88,4.121,0.842,0.375,0.921,49.967,0.085,0.047,20.74
2021-01-01T02:00:00,MTR-4452,East,218.5,4.447,0.919,0.321,0.974,49.965,0.0,0.038,19.17
2021-01-01T02:00:00,MTR-4456,East,226.46,6.112,1.24,0.599,1.377,49.972,0.055,0.114,20.25
2021-01-01T02:00:00,MTR-4457,West,227.75,3.82,0.813,0.315,0.872,49.994,0.133,0.0,21.24
2021-01-01T03:00:00,MTR-4459,South,230.72,4.54,1.01,0.341,1.066,50.004,0.036,0.149,20.09
2021-01-01T03:00:00,MTR-4460,East,232.08,4.334,0.885,0.415,0.978,49.963,0.094,0.071,20.17
2021-01-01T04:00:00,MTR-4450,North,225.44,5.404,1.143,0.437,1.224,49.949,0.136,0.0,17.25
2021-01-01T04:00:00,MTR-4451,South,232.93,3.02,0.669,0.171,0.69,50.041,0.037,0.121,19.74
2021-01-01T04:00:00,MTR-4457,West,227.18,5.637,1.147,0.502,1.252,50.035,0.0,0.066,18.99
2021-01-01T06:00:00,MTR-4451,South,233.83,3.782,0.856,0.257,0.894,50.01,0.491,0.012,19.16
2021-01-01T06:00:00,MTR-4452,East,227.19,8.191,1.739,0.677,1.866,49.947,0.426,0.17,18.62
2021-01-01T06:00:00,MTR-4454,North,230.46,4.943,1.045,0.442,1.135,49.933,0.481,0.169,17.27
2021-01-01T06:00:00,MTR-4456,East,231.33,7.497,1.572,0.791,1.759,49.912,0.339,0.229,17.79
2021-01-01T06:00:00,MTR-4457,West,235.94,5.937,1.327,0.468,1.408,50.001,0.504,0.139,18.03
2021-01-01T06:00:00,MTR-4458,North,229.24,5.747,1.218,0.42,1.288,49.967,0.52,0.354,17.35
2021-01-01T07:00:00,MTR-4453,West,225.75,8.781,1.756,0.966,2.004,50.036,0.596,0.261,17.93
2021-01-01T07:00:00,MTR-4453,West,,8.781,,0.966,2.004,50.036,0.596,0.261,17.93
2021-01-01T07:00:00,MTR-4454,North,227.85,4.558,0.941,0.438,1.038,50.057,0.572,0.315,16.39
2021-01-01T07:00:00,MTR-4457,West,231.91,8.289,1.782,0.725,1.924,50.029,0.444,0.207,18.27
2021-01-01T07:00:00,MTR-4459,South,228.95,6.164,1.368,0.297,1.4,49.947,0.427,0.253,18.91
2021-01-01T08:00:00,MTR-4455,South,227.84,9.33,1.883,0.937,2.103,49.923,0.5,0.195,18.52
2021-01-01T08:00:00,MTR-4460,East,231.3,6.528,1.374,0.581,1.492,49.957,0.423,0.181,18.19
2021-01-01T09:00:00,MTR-4458,North,232.2,6.169,1.324,0.609,1.458,49.99,0.536,0.178,16.49
2021-01-01T09:00:00,MTR-4460,East,229.7,5.644,1.195,0.573,1.326,49.882,0.408,0.232,17.12
2021-01-01T10:00:00,MTR-4452,East,231.28,5.282,1.151,0.441,1.233,49.971,0.043,0.065,18.4
2021-01-01T10:00:00,MTR-4455,South,228.63,6.173,1.247,0.658,1.41,50.005,0.081,0.118,18.39
2021-01-01T11:00:00,MTR-4451,South,230.68,4.677,1.008,0.399,1.084,50.04,0.035,0.109,19.82
2021-01-01T11:00:00,MTR-4452,East,232.27,5.611,1.239,0.392,1.299,50.022,0.073,0.156,19.29
2021-01-01T11:00:00,MTR-4459,South,233.57,3.87,0.873,0.275,0.915,49.943,0.048,0.121,18.54
2021-01-01T12:00:00,MTR-4454,North,230.6,2.714,0.581,0.223,0.622,50.036,0.005,0.118,18.83
2021-01-01T12:00:00,MTR-4455,South,231.9,7.219,1.473,0.771,1.663,49.952,0.1,0.145,20.65
2021-01-01T12:00:00,MTR-4459,South,232.09,5.41,1.216,0.365,1.269,49.943,0.0,0.098,18.76
2021-01-01T13:00:00,MTR-4450,North,231.37,4.687,1.043,0.337,1.096,50.052,0.01,0.133,17.93
2021-01-01T13:00:00,MTR-4453,West,226.98,4.667,0.959,0.443,1.057,50.045,0.0,0.047,19.52
2021-01-01T13:00:00,MTR-4458,North,226.31,3.588,0.783,0.26,0.825,50.05,0.0,0.05,20.05
2021-01-01T13:00:00,MTR-4458,North,226.31,0.851,0.0,0.0,0.0,50.05,0.0,0.05,20.05
2021-01-01T14:00:00,MTR-4450,North,230.23,4.163,0.923,0.289,0.967,50.007,0.0,0.031,18.11
2021-01-01T14:00:00,MTR-4451,South,229.86,1.752,0.329,0.132,0.354,50.025,0.003,0.087,21.29
2021-01-01T14:00:00,MTR-4455,South,227.12,6.728,1.334,0.711,1.512,49.986,0.057,0.036,19.61
2021-01-01T14:00:00,MTR-4457,West,233.17,5.842,1.254,0.508,1.353,50.026,0.0,0.21,19.35
2021-01-01T14:00:00,MTR-4458,North,232.72,2.707,0.581,0.191,0.611,50.039,0.002,0.11,20.05
2021-01-01T15:00:00,MTR-4451,South,231.93,4.56,1.002,0.356,1.063,49.98,0.0,0.187,20.42
2021-01-01T15:00:00,MTR-4455,South,232.2,5.255,1.076,0.563,1.214,49.9,0.117,0.092,20.76
2021-01-01T16:00:00,MTR-4450,North,235.03,4.945,1.131,0.368,1.189,50.018,0.029,0.0,19.21
2021-01-01T16:00:00,MTR-4455,South,233.09,6.815,1.383,0.77,1.583,50.102,0.041,0.12,22.5
2021-01-01T17:00:00,MTR-4452,East,231.39,6.256,1.367,0.517,1.461,49.994,0.1,0.106,22.26
2021-01-01T17:00:00,MTR-4454,North,230.8,3.59,0.788,0.252,0.827,50.009,0.084,0.09,19.78
